name,nationality,sport,gold,silver,bronze,total
Daniela Cardoso,POR,athletics,0,0,0,0
Daniela Carlan,ROU,athletics,0,0,0,0
Daniela Druncea,ROU,rowing,0,0,1,1
Daniela Ferenz,GER,athletics,0,0,0,0
Daniela Matarazzo Carraro,BRA,shooting,0,0,0,0
Daniela Monteiro Dodean,ROU,table tennis,0,0,0,0
Daniela Piedade,BRA,handball,0,0,0,0
Daniela Potapova,GER,gymnastics,0,0,0,0
Daniele Garozzo,ITA,fencing,1,0,0,1
Daniele Hypolito,BRA,gymnastics,0,0,0,0
Daniele Lupo,ITA,volleyball,0,1,0,1
Daniele Meucci,ITA,athletics,0,0,0,0
Danielle Kettlewell,AUS,aquatics,0,0,0,0
Danielle Lins,BRA,volleyball,0,0,0,0
Danielle Page,SRB,basketball,0,0,1,1
Danielle Prince,AUS,gymnastics,0,0,0,0
Danielle Suzanne Lappage,CAN,wrestling,0,0,0,0
Danielle Villars,SUI,aquatics,0,0,0,0
Danielle Waterman,GBR,rugby sevens,0,0,0,0
Daniil Pakhomov,RUS,aquatics,0,0,0,0
Danijel Furtula,MNE,athletics,0,0,0,0
Danijel Saric,QAT,handball,0,0,0,0
Danila Izotov,RUS,aquatics,0,0,0,0
Danilo Caro Guarnieri,COL,shooting,0,0,0,0
Danish Mujtaba,IND,hockey,0,0,0,0
Daniyar Ismayilov,TUR,weightlifting,0,1,0,1
Daniyar Yeleussinov,KAZ,boxing,1,0,0,1
Danka Bartekova,SVK,shooting,0,0,0,0
Danka Kovinic,MNE,tennis,0,0,0,0
Dannie Boyd,CAN,sailing,0,0,0,0
Danniel Thomas,JAM,athletics,0,0,0,0
Danny Barrett,USA,rugby sevens,0,0,0,0
Danny Chia,MAS,golf,0,0,0,0
Danny Lee,NZL,golf,0,0,0,0
Danny Pinheiro Rodrigues,FRA,gymnastics,0,0,0,0
Danny Willett,GBR,golf,0,0,0,0
Danuta Kozak,HUN,canoe,3,0,0,3
Danuta Urbanik,POL,athletics,0,0,0,0
Dapeng Wang,CHN,archery,0,0,0,0
Dara Hassanien,EGY,aquatics,0,0,0,0
Darcina Manuel,NZL,judo,0,0,0,0
Daria Chikunova,RUS,aquatics,0,0,0,0
Daria Dmitrieva,RUS,handball,1,0,0,1
Daria Gavrilova,AUS,tennis,0,0,0,0
Daria Iushko,UKR,aquatics,0,0,0,0
Daria Kasatkina,RUS,tennis,0,0,0,0
Daria Malygina,RUS,volleyball,0,0,0,0
Daria Mullakaeva,RUS,aquatics,0,0,0,0
Daria Pikulik,POL,cycling,0,0,0,0
Daria Pogorzelec,POL,judo,0,0,0,0
Daria Shmeleva,RUS,cycling,0,1,0,1
Daria Spiridonova,RUS,gymnastics,0,1,0,1
Daria Talanova,KGZ,aquatics,0,0,0,0
Daria Ustinova,RUS,aquatics,0,0,0,0
Daria Vdovina,RUS,shooting,0,0,0,0
Darian King,BAR,tennis,0,0,0,0
Darienn Ferrer Delis,CUB,volleyball,0,0,0,0
Dariga Shakimova,KAZ,boxing,0,0,1,1
Dario Saric,CRO,basketball,0,0,0,0
Dariusz Radosz,POL,rowing,0,0,0,0
Dariya Derkach,ITA,athletics,0,0,0,0
Darko Brguljan,MNE,aquatics,0,0,0,0
Darko Cingesar,SLO,handball,0,0,0,0
Darko Planinic,CRO,basketball,0,0,0,0
Darlan Romani,BRA,athletics,0,0,0,0
Darlene,BRA,football,0,0,0,0
Darly Zoqbi,ESP,handball,0,0,0,0
Darrell Hill,USA,athletics,0,0,0,0
Darrell Wesh,HAI,athletics,0,0,0,0
Darwin Espinal,HON,football,0,0,0,0
Darya Klishina,RUS,athletics,0,0,0,0
Darya Maslova,KGZ,athletics,0,0,0,0
Darya Naumava,BLR,weightlifting,0,1,0,1
Darya Pachabut,BLR,weightlifting,0,0,0,0
Darya Semyonova,TKM,aquatics,0,0,0,0
Darya Skrypnik,BLR,judo,0,0,0,0
Darya Stepanyuk,UKR,aquatics,0,0,0,0
Daryl Homer,USA,fencing,0,1,0,1
Daryl Impey,RSA,cycling,0,0,0,0
Daryll Neita,GBR,athletics,0,0,1,1
Daryna Verkhogliad,UKR,rowing,0,0,0,0
Daryna Zevina,UKR,aquatics,0,0,0,0
Daseul Lee,KOR,athletics,0,0,0,0
Dattu Baban Bhokanal,IND,rowing,0,0,0,0
Daulet Shabanbay,KAZ,wrestling,0,0,0,0
Dave Hughes,USA,sailing,0,0,0,0
David Adley Smith Ii,PUR,athletics,0,0,0,0
David Alegre,ESP,hockey,0,0,0,0
David Ames,GBR,hockey,0,0,0,0
David Andersen,AUS,basketball,0,0,0,0
David Belyavskiy,RUS,gymnastics,0,1,1,2
David Boudia,USA,aquatics,0,1,1,2
David Brandl,AUT,aquatics,0,0,0,0
David Bustos,ESP,athletics,0,0,0,0
David Carter,CAN,hockey,0,0,0,0
David Carver,MRI,athletics,0,0,0,0
David Chapman,AUS,shooting,0,0,0,0
David Condon,GBR,hockey,0,0,0,0
David Cubillan,VEN,basketball,0,0,0,0
David Fernandes,POR,canoe,0,0,0,0
David Ferrer,ESP,tennis,0,0,0,0
David Florence,GBR,canoe,0,1,0,1
David Foldhazi,HUN,aquatics,0,0,0,0
David Goffin,BEL,tennis,0,0,0,0
David Graf,GER,boxing,0,0,0,0
David Graf,SUI,cycling,0,0,0,0
David Harte,IRL,hockey,0,0,0,0
David Hearn,CAN,golf,0,0,0,0
David Higgins,USA,shooting,0,0,0,0
David Horvath,HUN,aquatics,0,0,0,0
David Hunt,RSA,rowing,0,0,0,0
David Jessen,CZE,gymnastics,0,0,0,0
David Joao Serralheiro Rosa,POR,cycling,0,0,0,0
David Katoatau,KIR,weightlifting,0,0,0,0
David Kostelecky,CZE,shooting,0,0,0,0
David Lee,USA,volleyball,0,0,1,1
David Lekuta Rudisha,KEN,athletics,1,0,0,1
David Lingmerth,SWE,golf,0,0,0,0
David Mauricio Mier Y Teran Cuevas,MEX,sailing,0,0,0,0
David McKeon,AUS,aquatics,0,0,0,0
David McNeill,AUS,athletics,0,0,0,0
David Miklavcic,SLO,handball,0,0,0,0
David Morgan,AUS,aquatics,0,0,1,1
David Munoz Hidalgo,PAN,shooting,0,0,0,0
David Obernosterer,AUT,badminton,0,0,0,0
David Oliver Joyce,IRL,boxing,0,0,0,0
David Pasqualucci,ITA,archery,0,0,0,0
David Plummer,USA,aquatics,1,0,1,2
David Powell,AUS,table tennis,0,0,0,0
David Sanchez Lopez,ESP,weightlifting,0,0,0,0
David Smith,USA,volleyball,0,0,1,1
David Soderberg,FIN,athletics,0,0,0,0
David Storl,GER,athletics,0,0,0,0
David Svoboda,CZE,modern pentathlon,0,0,0,0
David Sylvere Patrick Boui,CAF,taekwondo,0,0,0,0
David Torrence,PER,athletics,0,0,0,0
David Valero Serrano,ESP,cycling,0,0,0,0
David Verburg,USA,athletics,1,0,0,1
David Verraszto,HUN,aquatics,0,0,0,0
David Watts,AUS,rowing,0,0,0,0
David van der Colff,BOT,aquatics,0,0,0,0
Davide Manenti,ITA,athletics,0,0,0,0
Davide Uccellari,ITA,triathlon,0,0,0,0
Davie Selke,GER,football,0,1,0,1
Davilson dos Santos Morais,CPV,boxing,0,0,0,0
Davit Chakvetadze,RUS,wrestling,1,0,0,1
Daviti Kharazishvili,GEO,athletics,0,0,0,0
Davor Stefanek,SRB,wrestling,1,0,0,1
Dawid Konarski,POL,volleyball,0,0,0,0
Dawit Seyaum,ETH,athletics,0,0,0,0
Dawit Wolde,ETH,athletics,0,0,0,0
Dayaris Mestre Alvarez,CUB,judo,0,0,0,0
Daynara de Paula,BRA,aquatics,0,0,0,0
DeAndre Jordan,USA,basketball,1,0,0,1
DeMarcus Cousins,USA,basketball,1,0,0,1
Deajah Stevens,USA,athletics,0,0,0,0
Dean Bombac,SLO,handball,0,0,0,0
Deanna Price,USA,athletics,0,0,0,0
Deanne Rose,CAN,football,0,0,1,1
Debashree Mazumdar,IND,athletics,0,0,0,0
Debby Stam-Pilon,NED,volleyball,0,0,0,0
Debby Susanto,INA,badminton,0,0,0,0
Debinha,BRA,football,0,0,0,0
Debora Seilhamer,PUR,volleyball,0,0,0,0
Deborah Rodriguez,URU,athletics,0,0,0,0
Deborah Tsai,AUS,aquatics,0,0,0,0
Debra Daniel,FSM,aquatics,0,0,0,0
Deep Ekka,IND,hockey,0,0,0,0
Deepika Deepika,IND,hockey,0,0,0,0
Deepika Kumari,IND,archery,0,0,0,0
Deiver Machado,COL,football,0,0,0,0
Deividas Margevicius,LTU,aquatics,0,0,0,0
Deivy Balanta,COL,football,0,0,0,0
Dejan Pajic,SRB,canoe,0,0,0,0
Dejen Gebremeskel,ETH,athletics,0,0,0,0
Delanno Williams,GBR,athletics,0,0,0,0
Delfina Merino,ARG,hockey,0,0,0,0
Delphine Lansac,FRA,badminton,0,0,0,0
Demar DeRozan,USA,basketball,1,0,0,1
Demetrius Pinder,BAH,athletics,0,0,0,0
Demian Gonzalez,ARG,volleyball,0,0,0,0
Demita Vega de Lille,MEX,sailing,0,0,0,0
Denes Varga,HUN,aquatics,0,0,0,0
Deni,INA,weightlifting,0,0,0,0
Denia Caballero,CUB,athletics,0,0,1,1
Denika Kassim,COM,athletics,0,0,0,0
Denis Abliazin,RUS,gymnastics,0,2,1,3
Denis Dmitriev,RUS,cycling,0,0,1,1
Denis Gargaud Chanut,FRA,canoe,1,0,0,1
Denis Gribanov,RUS,sailing,0,0,0,0
Denis Iartcev,RUS,judo,0,0,0,0
Denis Istomin,UZB,tennis,0,0,0,0
Denis Koulakov,RUS,shooting,0,0,0,0
Denis Kudla,USA,tennis,0,0,0,0
Denis Maksymilian Kudla,GER,wrestling,0,0,1,1
Denis Mysak,SVK,canoe,0,1,0,1
Denis Petrashov,KGZ,aquatics,0,0,0,0
Denis Ulanov,KAZ,weightlifting,0,0,0,0
Denisa Dedu,ROU,handball,0,0,0,0
Denisa Rosolova,CZE,athletics,0,0,0,0
Denise Lim,SIN,sailing,0,0,0,0
Deniss Karpak,EST,sailing,0,0,0,0
Deniz Cinar,TUR,sailing,0,0,0,0
Dennis Goossens,BEL,gymnastics,0,0,0,0
Dennis Ombachi,KEN,rugby sevens,0,0,0,0
Denys Kostyuk,UKR,cycling,0,0,0,0
Denys Molchanov,UKR,tennis,0,0,0,0
Denys Solonenko,UKR,boxing,0,0,0,0
Deo Gracia Ngokaba,CGO,judo,0,0,0,0
Deokhyeon Kim,KOR,athletics,0,0,0,0
Deolin Mekoa,RSA,football,0,0,0,0
Deon Lendore,TTO,athletics,0,0,0,0
Deonise Fachinello,BRA,handball,0,0,0,0
Derek Drouin,CAN,athletics,1,0,0,1
Derek Hawkins,GBR,athletics,0,0,0,0
Derek Sua,SAM,judo,0,0,0,0
Derlys Ayala,PAR,athletics,0,0,0,0
Desiree Henry,GBR,athletics,0,0,1,1
Desiree Linden,USA,athletics,0,0,0,0
Desiree Rossit,ITA,athletics,0,0,0,0
Desiree Scott,CAN,football,0,0,1,1
Desler Puggaard,DEN,football,0,0,0,0
Deuce Carter,JAM,athletics,0,0,0,0
Devery Karz,USA,rowing,0,0,0,0
Devid Safaryan,ARM,wrestling,0,0,0,0
Devin McEwan,USA,canoe,0,0,0,0
Devindar Walmiki,IND,hockey,0,0,0,0
Devohn Teixeira,CAN,hockey,0,0,0,0
Devon Allen,USA,athletics,0,0,0,0
Devon Manchester,NZL,hockey,0,0,0,0
Devon Myles William Brown,RSA,aquatics,0,0,0,0
Dewi Safitri,INA,weightlifting,0,0,0,0
Dewi Yuliawati,INA,rowing,0,0,0,0
Dex Elmont,NED,judo,0,0,0,0
Dhurgham Ismael,IRQ,football,0,0,0,0
Di Wu,CHN,basketball,0,0,0,0
Diaaeldin Kamal Gouda Abdelmottaleb,EGY,wrestling,0,0,0,0
Diamara Planell,PUR,athletics,0,0,0,0
Diana Abla,BRA,aquatics,0,0,0,0
Diana Aydosova,KAZ,athletics,0,0,0,0
Diana Bacosi,ITA,shooting,1,0,0,1
Diana Khubeseryan,ARM,athletics,0,0,0,0
Diana Lobacevske,LTU,athletics,0,0,0,0
Diana Martin,ESP,athletics,0,0,0,0
Diana Matheson,CAN,football,0,0,1,1
Diana Ospina,COL,football,0,0,0,0
Diana Pineda,COL,aquatics,0,0,0,0
Diana Reyes,PUR,volleyball,0,0,0,0
Diana Sujew,GER,athletics,0,0,0,0
Diana Taurasi,USA,basketball,1,0,0,1
Diane Nukuri,BDI,athletics,0,0,0,0
Dianelys Perez,CUB,shooting,0,0,0,0
Didar Khamza,KAZ,judo,0,0,0,0
Didier Kiki,BEN,athletics,0,0,0,0
Diederik van Silfhout,NED,equestrian,0,0,0,0
Diego Botin Le Chever,ESP,sailing,0,0,0,0
Diego Colorado,COL,athletics,0,0,0,0
Diego Hypolito,BRA,gymnastics,0,1,0,1
Diego Milan Jimenez,DOM,cycling,0,0,0,0
Diego Occhiuzzi,ITA,fencing,0,0,0,0
Diego Palomeque,COL,athletics,0,0,0,0
Diego Rosa,ITA,cycling,0,0,0,0
Diego del Real,MEX,athletics,0,0,0,0
Dienov Andres Koka,CGO,aquatics,0,0,0,0
Dieter Dekoninck,BEL,aquatics,0,0,0,0
Dieudonne Wilfred Seyi Ntsengue,CMR,boxing,0,0,0,0
Dilara Lokmanhekim,TUR,judo,0,0,0,0
Dilara Uralp,TUR,sailing,0,0,0,0
Diletta Carli,ITA,aquatics,0,0,0,0
Dilshod Nazarov,TJK,athletics,1,0,0,1
Dilshodjon Turdiev,UZB,wrestling,0,0,0,0
Dimitar Angelov Kumchev,BUL,wrestling,0,0,0,0
Dimitar Krastanov,BUL,modern pentathlon,0,0,0,0
Dimitri Bascou,FRA,athletics,0,0,1,1
Dimitri Juliet,NED,athletics,0,0,0,0
Dimitriana Surdu,MDA,athletics,0,0,0,0
Dimitrij Ovtcharov,GER,table tennis,0,0,1,1
Dimitrije Grgic,SRB,shooting,0,0,0,0
Dimitrios Antoniadis,GRE,cycling,0,0,0,0
Dimitrios Chondrokoukis,CYP,athletics,0,0,0,0
Dimitrios Dimitriou,GRE,aquatics,0,0,0,0
Dimitrios Koulouris,GRE,aquatics,0,0,0,0
Dimitriy Timchenko,UKR,wrestling,0,0,0,0
Dimitry Volkov,RUS,volleyball,0,0,0,0
Dina Asher-Smith,GBR,athletics,0,0,1,1
Dina Lebo Phalula,RSA,athletics,0,0,0,0
Dina Meshref,EGY,table tennis,0,0,0,0
Ding Chen,CHN,athletics,0,0,0,0
Diodio Diouf,SEN,basketball,0,0,0,0
Diogo Abreu,POR,gymnastics,0,0,0,0
Diogo Carvalho,POR,aquatics,0,0,0,0
Diogo Kent Hubner,BRA,handball,0,0,0,0
Diogo Sclebin,BRA,triathlon,0,0,0,0
Dion Dreesens,NED,aquatics,0,0,0,0
Dionisio Augustine Ii,FSM,aquatics,0,0,0,0
Dionysios Angelopoulos,GRE,rowing,0,0,0,0
Dipa Karmakar,IND,gymnastics,0,0,0,0
Dirk Uittenbogaard,NED,rowing,0,0,1,1
Dirk van Tichelt,BEL,judo,0,0,1,1
Dirngulbai Misech,PLW,aquatics,0,0,0,0
Dival Forele Malonga Dzalamou,CGO,boxing,0,0,0,0
Diyorbek Urozboev,UZB,judo,0,0,1,1
Djenebou Dante,MLI,athletics,0,0,0,0
Dmitri Barsuk,RUS,volleyball,0,0,0,0
Dmitrii Ushakov,RUS,gymnastics,0,0,0,0
Dmitrij Prokopcov,CZE,table tennis,0,0,0,0
Dmitriy Balandin,KAZ,aquatics,1,0,0,1
Dmitriy Koblov,KAZ,athletics,0,0,0,0
Dmitriy Shokin,UZB,taekwondo,0,0,0,0
Dmitry Kroyter,ISR,athletics,0,0,0,0
Dmitry Larionov,RUS,canoe,0,0,0,0
Dmitry Polyanskiy,RUS,triathlon,0,0,0,0
Dmitry Zherebchenko,RUS,fencing,0,0,0,0
Dmytro Chumak,UKR,weightlifting,0,0,0,0
Dmytro Ianchuk,UKR,canoe,0,0,1,1
Dmytro Karyuchenko,UKR,fencing,0,0,0,0
Dmytro Kosynskyy,UKR,athletics,0,0,0,0
Dmytro Mikhay,UKR,rowing,0,0,0,0
Dmytro Mytrofanov,UKR,boxing,0,0,0,0
Dmytro Oseledets,UKR,aquatics,0,0,0,0
Dmytro Yakovenko,UKR,athletics,0,0,0,0
Doaa Elghobashy,EGY,volleyball,0,0,0,0
Dolores Hernandez,MEX,aquatics,0,0,0,0
Dolores Moreira Fraschini,URU,sailing,0,0,0,0
Domagoj Duvnjak,CRO,handball,0,0,0,0
Domantas Sabonis,LTU,basketball,0,0,0,0
Domenic Weinstein,GER,cycling,0,0,0,0
Domenico Montrone,ITA,rowing,0,0,1,1
Dominic Dugasse,SEY,judo,0,0,0,0
Dominic Inglot,GBR,tennis,0,0,0,0
Dominic King,GBR,athletics,0,0,0,0
Dominik Distelberger,AUT,athletics,0,0,0,0
Dominik Kozma,HUN,aquatics,0,0,0,0
Dominique Bouchard,CAN,aquatics,0,0,0,0
Dominique Scott,RSA,athletics,0,0,0,0
Dominykas Jancionis,LTU,rowing,0,0,0,0
Domonic Bedggood,AUS,aquatics,0,0,0,0
Donald Blair-Sanford,ISR,athletics,0,0,0,0
Donald Cabral,USA,athletics,0,0,0,0
Donald Thomas,BAH,athletics,0,0,0,0
Donata Rimshaite,RUS,modern pentathlon,0,0,0,0
Donata Vistartaite,LTU,rowing,0,0,1,1
Dong Dong,CHN,gymnastics,0,1,0,1
Dong Keun Lee,KOR,badminton,0,0,0,0
Donghan Gwak,KOR,judo,0,0,1,1
Donghyen Shin,KOR,gymnastics,0,0,0,0
Dongjin Kang,KOR,cycling,0,0,0,0
Dongjin Park,KOR,football,0,0,0,0
Dongju Yu,KOR,weightlifting,0,0,0,0
Dongjun Kim,KOR,football,0,0,0,0
Donglun Song,CHN,aquatics,0,0,0,0
Dongmin Cha,KOR,taekwondo,0,0,1,1
Dongna Li,CHN,football,0,0,0,0
Dongseon Kim,KOR,equestrian,0,0,0,0
Dongxiao Li,CHN,hockey,0,0,0,0
Dongyan Huang,CHN,cycling,0,0,0,0
Dongyong Kim,KOR,rowing,0,0,0,0
Donis Escober,HON,football,0,0,0,0
Donna Vakalis,CAN,modern pentathlon,0,0,0,0
Dora Antal,HUN,aquatics,0,0,0,0
Dora Csabai,HUN,aquatics,0,0,0,0
Dora Czigany,HUN,aquatics,0,0,0,0
Dorcas Gyimah,GHA,athletics,0,0,0,0
Doreen Amata,NGR,athletics,0,0,0,0
Doreen Nziwa,KEN,rugby sevens,0,0,0,0
Dorian Coninx,FRA,triathlon,0,0,0,0
Dorian McMenemy Taylor,DOM,aquatics,0,0,0,0
Dorian Mortelette,FRA,rowing,0,0,0,0
Dorian van Rijsselberghe,NED,sailing,1,0,0,1
Doris Esmid Patino Marin,COL,taekwondo,0,0,0,0
Dorlan Pabon,COL,football,0,0,0,0
Dorothea Brandt,GER,aquatics,0,0,0,0
Dorothee Schneider,GER,equestrian,1,0,0,1
Dorothy Erzsebet Yeats,CAN,wrestling,0,0,0,0
Doston Yokubov,UZB,weightlifting,0,0,0,0
Doszhan Kartikov,KAZ,wrestling,0,0,0,0
Douglas Correia de Souza,BRA,volleyball,1,0,0,1
Douglas John Erasmus,RSA,aquatics,0,0,0,0
Douglas Santos,BRA,football,1,0,0,1
Dovydas Nemeravicius,LTU,rowing,0,0,0,0
Dragana Stankovic,SRB,basketball,0,0,1,1
Dragana Tomasevic,SRB,athletics,0,0,0,0
Drasko Brguljan,MNE,aquatics,0,0,0,0
Draymond Green,USA,basketball,1,0,0,1
Driss Lahrichi,MAR,aquatics,0,0,0,0
Drita Islami,MKD,athletics,0,0,0,0
Duanbin Ma,CHN,judo,0,0,0,0
Duane da Rocha Marce,ESP,aquatics,0,0,0,0
Dudi Sela,ISR,tennis,0,0,0,0
Dulguun Batsaikhan,MGL,aquatics,0,0,0,0
Dumitru Captari,ROU,weightlifting,0,0,0,0
Duncan Scott,GBR,aquatics,0,2,0,2
Dunhan Xiong,CHN,aquatics,0,0,0,0
Duo Shen,CHN,aquatics,0,0,0,0
Duobujie,CHN,athletics,0,0,0,0
Durdina Jaukovic,MNE,handball,0,0,0,0
Dusan Majdan,SVK,athletics,0,0,0,0
Dusan Mandic,SRB,aquatics,1,0,0,1
Dusko Pijetlovic,SRB,aquatics,1,0,0,1
Dustin Brown,GER,tennis,0,0,0,0
Dustin Tynes,BAH,aquatics,0,0,0,0
Dutee Chand,IND,athletics,0,0,0,0
Duygu Aynaci,TUR,weightlifting,0,0,0,0
Dwight Lewis,VEN,basketball,0,0,0,0
Dylan Borlee,BEL,athletics,0,0,0,0
Dylan Bosch,RSA,aquatics,0,0,0,0
Dylan Carter,TTO,aquatics,0,0,0,0
Dylan Fletcher-Scott,GBR,sailing,0,0,0,0
Dylan Kennett,NZL,cycling,0,0,0,0
Dylan Sage,RSA,rugby sevens,0,0,1,1
Dylan Schmidt,NZL,gymnastics,0,0,0,0
Dzianis Mihal,BLR,rowing,0,0,0,0
Dzianis Simanovich,BLR,athletics,0,0,0,0
Dzmitry Asanau,BLR,boxing,0,0,0,0
Dzmitry Nabokau,BLR,athletics,0,0,0,0
Dzmitry Platnitski,BLR,athletics,0,0,0,0
Dzmitry Shershan,BLR,judo,0,0,0,0
Dzsenifer Marozsan,GER,football,1,0,0,1
Earvin Ngapeth,FRA,volleyball,0,0,0,0
Ebi Ere,NGR,basketball,0,0,0,0
Ebtissam Mohamed,EGY,cycling,0,0,0,0
Ecaterina Guica,CAN,judo,0,0,0,0
Ed Jenkins,AUS,rugby sevens,0,0,0,0
Eddie Lovett,ISV,athletics,0,0,0,0
Eddy Yusof,SUI,gymnastics,0,0,0,0
Edel R. Amores,CUB,athletics,0,0,0,0
Eder Antonio Souza,BRA,athletics,0,0,0,0
Eder Carbonera,BRA,volleyball,1,0,0,1
Edgar Contreras,VEN,taekwondo,0,0,0,0
Edgar Crespo,PAN,aquatics,0,0,0,0
Edgar Ie,POR,football,0,0,0,0
Edgar Pineda Zeta,GUA,weightlifting,0,0,0,0
Edgar Ramon Munoz,VEN,boxing,0,0,0,0
Edgar Rivera,MEX,athletics,0,0,0,0
Edgaras Venckaitis,LTU,wrestling,0,0,0,0
Edidiong Ofonime Odiong,BRN,athletics,0,0,0,0
Edigerson Gomes,DEN,football,0,0,0,0
Edina Gangl,HUN,aquatics,0,0,0,0
Edina Knapek,HUN,fencing,0,0,0,0
Edna Carrillo,MEX,judo,0,0,0,0
Edna Santini,BRA,rugby sevens,0,0,0,0
Edouard Joseph,HAI,weightlifting,0,0,0,0
Edson Isaias Freitas da Silva,BRA,canoe,0,0,0,0
Eduard Popp,GER,wrestling,0,0,0,0
Eduard Soghomonyan,BRA,wrestling,0,0,0,0
Eduarda Taleska,BRA,handball,0,0,0,0
Eduardo Alvarez Aznar,ESP,equestrian,0,0,0,0
Eduardo Jose Lorenzo,DOM,shooting,0,0,0,0
Eduardo Menezes,BRA,equestrian,0,0,0,0
Eduardo Rubio Rodriguez,CUB,rowing,0,0,0,0
Eduardo Sepulveda,ARG,cycling,0,0,0,0
Eduardo Solaeche Gomez,ESP,aquatics,0,0,0,0
Edvald Boasson Hagen,NOR,cycling,0,0,0,0
Edvinas Ramanauskas,LTU,canoe,0,0,1,1
Edward Araya,CHI,athletics,0,0,0,0
Edward Clancy,GBR,cycling,1,0,0,1
Edward Dawkins,NZL,cycling,0,1,0,1
Edward Gal,NED,equestrian,0,0,0,0
Edward King,USA,rowing,0,0,0,0
Edward Ling,GBR,shooting,0,0,1,1
Edward Ockenden,AUS,hockey,0,0,0,0
Edwige Gwend,ITA,judo,0,0,0,0
Edwin Orlando Mosquera Roa,COL,weightlifting,0,0,0,0
Edwina Bone,AUS,hockey,0,0,0,0
Edwina Tops-Alexander,AUS,equestrian,0,0,0,0
Edyta Dzieniszewska-Kierkla,POL,canoe,0,0,0,0
Edyta Jasinska,POL,cycling,0,0,0,0
Edzus Treimanis,LAT,cycling,0,0,0,0
Eefje Muskens,NED,badminton,0,0,0,0
Eelco Sintnicolaas,NED,athletics,0,0,0,0
Eeseul Baek,KOR,hockey,0,0,0,0
Efe Ajagba,NGR,boxing,0,0,0,0
Efthimios Mitas,GRE,shooting,0,0,0,0
Egle Balciunaite,LTU,athletics,0,0,0,0
Eglys Yahima de la Cruz,CUB,shooting,0,0,0,0
Egor Kliuka,RUS,volleyball,0,0,0,0
Ehsan Hadadi,IRI,athletics,0,0,0,0
Ehsan Rouzbahani,IRI,boxing,0,0,0,0
Ei Ei Thet,MYA,aquatics,0,0,0,0
Eider Arevalo,COL,athletics,0,0,0,0
Eike Onnen,GER,athletics,0,0,0,0
Eiki Takahashi,JPN,athletics,0,0,0,0
Eileen Grench,PAN,fencing,0,0,0,0
Eilidh Doyle,GBR,athletics,0,0,1,1
Eilish McColgan,GBR,athletics,0,0,0,0
Eimantas Stanionis,LTU,boxing,0,0,0,0
Eirini-Marina Alexandri,AUT,aquatics,0,0,0,0
Eita Mori,JPN,shooting,0,0,0,0
Ejowvokoghene Oduduru,NGR,athletics,0,0,0,0
Ekaterina Birlova,RUS,volleyball,0,0,0,0
Ekaterina Bukina,RUS,wrestling,0,0,1,1
Ekaterina Dyachenko,RUS,fencing,1,0,0,1
Ekaterina Ilina,RUS,handball,1,0,0,1
Ekaterina Ivanova Avramova,TUR,aquatics,0,0,0,0
Ekaterina Karsten,BLR,rowing,0,0,0,0
Ekaterina Khilko,UZB,gymnastics,0,0,0,0
Ekaterina Korshunova,RUS,shooting,0,0,0,0
Ekaterina Kosianenko,RUS,volleyball,0,0,0,0
Ekaterina Levina,ISR,gymnastics,0,0,0,0
Ekaterina Lisunova,RUS,aquatics,0,0,1,1
Ekaterina Makarova,RUS,tennis,1,0,0,1
Ekaterina Marennikova,RUS,handball,1,0,0,1
Ekaterina Petukhova,RUS,aquatics,0,0,0,0
Ekaterina Poplavskaya,BLR,athletics,0,0,0,0
Ekaterina Prokofyeva,RUS,aquatics,0,0,1,1
Ekaterina Rabaya,RUS,shooting,0,0,0,0
Ekaterina Tunguskova,UZB,athletics,0,0,0,0
Ekaterina Valkova,RUS,judo,0,0,0,0
Ekaterina Volkova,FIN,gymnastics,0,0,0,0
Ekaterina Voronina,UZB,athletics,0,0,0,0
Ekaterini Stefanidi,GRE,athletics,1,0,0,1
Ekenechukwu Ibekwe,NGR,basketball,0,0,0,0
Eko Yuli Irawan,INA,weightlifting,0,1,0,1
El Hadi Laameche,ALG,athletics,0,0,0,0
El Hassan Elabbassi,BRN,athletics,0,0,0,0
El Mahadi Messaoudi,MAR,wrestling,0,0,0,0
Elaheh Ahmadi,IRI,shooting,0,0,0,0
Elaine Thompson,JAM,athletics,2,1,0,3
Eldar Memisevic,QAT,handball,0,0,0,0
Elder Torres,HON,football,0,0,0,0
Eldred Henry,IVB,athletics,0,0,0,0
Elea Mariama Diarra,FRA,athletics,0,0,0,0
Eleanor Bezzina,MLT,shooting,0,0,0,0
Eleanor Harvey,CAN,fencing,0,0,0,0
Eleanor Logan,USA,rowing,1,0,0,1
Eleanor Patterson,AUS,athletics,0,0,0,0
Eleanor Watton,GBR,hockey,0,0,0,0
Eleftherios Petrounias,GRE,gymnastics,1,0,0,1
Elena Allen,GBR,shooting,0,0,0,0
Elena Aniushina,RUS,canoe,0,0,0,0
Elena Berta,ITA,sailing,0,0,0,0
Elena Cecchini,ITA,cycling,0,0,0,0
Elena Delle Donne,USA,basketball,1,0,0,1
Elena Ezhova,RUS,volleyball,0,0,0,0
Elena Galiabovitch,AUS,shooting,0,0,0,0
Elena Lopez,ESP,gymnastics,0,1,0,1
Elena Maria Bonfanti,ITA,athletics,0,0,0,0
Elena Panturoiu,ROU,athletics,0,0,0,0
Elena Potapenko,KAZ,modern pentathlon,0,0,0,0
